"City","inventory_sales_ratio","price_ratio","pct_sold_below_list","buyer_rank"
Redwood City,0.47,0.91,23.84,214
La Puente,0.65,1.07,24.30,215
Highland,0.46,1.02,34.64,216
Colton,0.65,1.09,29.35,217
Orange,0.46,1.08,41.36,218
Fullerton,0.44,1.06,39.67,219
Northridge,0.57,1.11,37.50,219
Moorpark,0.56,1.47,49.19,221
Vallejo,0.72,1.12,26.23,222
Redlands,0.59,1.22,40.82,223
Rancho Cucamonga,0.59,1.2,39.86,224
Antioch,0.58,1.04,23.96,225
Yucaipa,0.50,1.04,33.33,226
Chico,0.54,1.14,39.42,227
Fontana,0.58,1.07,27.84,228
Ventura,0.52,1.36,47.71,229
Monrovia,0.55,1.14,37.89,230
Buena Park,0.44,1.13,44.22,231
Berkeley,0.28,0.62,10.07,231
San Juan Capistrano,0.53,1.56,49.22,233
Palo Alto,0.52,1.04,27.78,233
Downey,0.55,1.06,27.27,235
Alameda,0.32,0.86,15.15,235
Santa Paula,0.71,1.97,40.00,237
Hesperia,0.63,1.13,29.52,238
Murrieta,0.63,1.35,39.78,239
San Luis Obispo,0.50,1.3,46.30,240
Poway,0.48,1.29,47.16,241
Castaic,0.68,1.24,32.18,242
Menifee,0.52,1.14,37.57,243
Santee,0.41,1.02,30.41,243
Riverside,0.58,1.17,34.15,245
Rialto,0.47,1.0,19.69,246
San Clemente,0.41,1.43,53.52,247
Carson,0.52,1.06,25.78,248
Castro Valley,0.33,0.97,26.09,249
Yorba Linda,0.50,1.34,44.32,250
San Bernardino,0.50,1.06,27.07,251
San Leandro,0.38,0.97,18.52,252
Wildomar,0.58,1.15,29.50,253
Norwalk,0.35,1.01,22.78,254
Moreno Valley,0.46,1.07,27.99,255
Perris,0.61,1.18,27.31,255
Livermore,0.40,1.13,35.90,257
Fountain Valley,0.41,1.09,32.33,258
Lakewood,0.27,1.08,28.00,259
Whittier,0.49,1.16,27.47,260
Jurupa Valley,0.52,1.3,28.50,261
Manhattan Beach,0.43,1.72,40.91,262
Salinas,0.51,1.47,33.95,263
Santa Maria,0.39,1.19,31.39,263
