"City","inventory_sales_ratio","price_ratio","pct_sold_below_list","competative_rank"
Coto de Caza,1.02,1.35,71.43,225
Valencia,0.76,0.95,42.77,226
Helendale,0.93,1.09,50.82,227
San Ramon,0.64,0.89,47.20,228
"29 Palms",2.01,1.19,50.47,229
Marina,0.98,1.08,50.00,230
West Hollywood,1.72,1.38,66.67,230
Sherman Oaks,0.97,1.13,57.26,232
Encino,1.22,1.27,63.89,232
Rancho Mirage,0.90,1.21,83.95,234
Canyon Country,0.93,1.02,45.81,235
Coronado,1.13,1.26,67.00,236
Malibu,3.93,1.55,79.27,237
Fairfield,0.75,0.91,44.78,238
Newhall,0.98,1.0,43.01,239
Lake Arrowhead,2.53,1.4,71.76,239
Panorama City,1.05,0.94,37.93,241
Mariposa,1.17,1.22,66.67,242
Joshua Tree,1.66,1.26,63.64,243
Kelseyville,1.53,1.31,70.97,243
Crestline,1.08,1.07,49.15,245
Yucca Valley,1.27,1.21,61.71,245
Cathedral City,0.79,1.06,60.99,247
Campbell,1.36,0.87,34.00,248
El Monte,0.78,1.01,54.44,248
Dublin,0.65,0.94,57.07,250
Irvine,1.01,1.15,69.92,250
La Quinta,0.78,1.07,75.88,250
Discovery Bay,1.65,1.1,55.00,253
Indian Wells,0.65,0.96,81.44,254
North Hollywood,0.86,0.92,49.35,255
Aptos,1.08,1.06,59.55,256
Big Bear City,2.51,1.08,58.02,257
Idyllwild,1.48,1.11,73.13,258
Palm Springs,0.92,1.05,73.58,259
Laguna Woods,0.87,0.83,55.75,260
Indio,1.10,1.0,65.90,261
Marina Del Rey,1.61,1.05,77.50,261
Big Bear Lake,2.91,1.04,70.33,263
Palm Desert,0.88,0.92,74.58,264
